"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 01월 23일","1,592.10","1,585.00","1,593.50","1,580.10","1.75K","0.54%"
"2020년 01월 22일","1,583.50","1,583.10","1,585.50","1,577.60","1.96K","-0.08%"
"2020년 01월 21일","1,584.70","1,584.00","1,593.80","1,573.60","2.14K","1.50%"
"2020년 01월 20일","1,561.25","1,557.20","1,562.70","1,556.65","-","0.27%"
"2020년 01월 19일","1,557.05","1,557.40","1,559.05","1,556.45","-","-1.90%"
"2020년 01월 17일","1,587.20","1,578.60","1,588.00","1,577.10","1.54K","0.65%"
"2020년 01월 16일","1,576.90","1,580.40","1,583.40","1,575.00","1.86K","-0.22%"
"2020년 01월 15일","1,580.30","1,575.90","1,582.20","1,573.40","2.10K","0.58%"
"2020년 01월 14일","1,571.20","1,573.20","1,573.90","1,563.40","1.76K","-0.40%"
"2020년 01월 13일","1,577.50","1,586.80","1,586.80","1,574.90","2.70K","-0.60%"
"2020년 01월 10일","1,587.00","1,577.60","1,589.60","1,574.10","2.73K","0.35%"
"2020년 01월 09일","1,581.40","1,583.00","1,587.50","1,570.20","1.43K","-0.35%"
"2020년 01월 08일","1,587.00","1,603.30","1,637.90","1,581.50","3.32K","-0.89%"
"2020년 01월 07일","1,601.30","1,594.50","1,605.50","1,586.50","2.57K","0.33%"
"2020년 01월 06일","1,596.10","1,590.20","1,615.30","1,590.00","2.80K","1.04%"
"2020년 01월 03일","1,579.60","1,561.60","1,583.60","1,561.60","5.12K","1.57%"
"2020년 01월 02일","1,555.20","1,548.70","1,559.50","1,548.20","1.25K","2.25%"
"2020년 01월 01일","1,520.95","1,520.85","1,523.95","1,520.85","-","-1.91%"
